course_id,course_title,file_name,category,type,status,duration_hours,skills_covered,description
1,Machine Learning vs Deep Learning vs Foundation Models,course-learning-ibm-ml-dl-foundation.md,Core Technical,Core,Complete,2,"Machine Learning, Deep Learning, Foundation Models, Neural Networks","Fundamentals of ML, DL, and foundation models including architecture differences and use cases"
2,Large Language Models (LLMs),course-learning-ibm-llms.md,Core Technical,Core,Complete,1.5,"Large Language Models, Transformers, GPT, Tokenization, Attention Mechanisms","Architecture and applications of large language models including GPT and transformer architecture"
3,NLP Speech and Computer Vision,course-learning-ibm-nlp-speech-vision.md,Core Technical,Core,Complete,2,"NLP, Speech Recognition, Computer Vision, Audio Processing, Image Classification","Natural language processing, speech recognition, and computer vision fundamentals"
4,What Is NLP (Intro),course-learning-ibm-nlp-intro.md,Core Technical,Core,Complete,1,"NLP, Text Processing, Tokenization, Named Entity Recognition","Introduction to natural language processing concepts and techniques"
5,Self-Driving Cars,course-learning-ibm-self-driving-cars.md,Applications,Application,Complete,2,"Autonomous Vehicles, Computer Vision, Sensor Fusion, Path Planning","AI applications in autonomous vehicle technology including perception and decision making"
6,AI Cloud Edge and IoT,course-learning-ibm-ai-cloud-edge-iot.md,Core Technical,Core,Complete,2.5,"Cloud AI, Edge Computing, IoT, Distributed Systems, Real-time Processing","Deploying AI across cloud, edge, and IoT environments"
7,AI Agents (Characteristics & Multi-Agent),course-learning-ibm-ai-agents.md,Advanced AI,Advanced,Complete,3,"AI Agents, Multi-Agent Systems, Autonomous Systems, Agent Communication","Characteristics of AI agents and multi-agent system architectures"
8,What Are AI Agents? (Compound Systems → ReAct),course-learning-ibm-what-are-ai-agents.md,Advanced AI,Advanced,Complete,3.5,"AI Agents, ReAct Framework, Tool Use, Chain-of-Thought, Compound AI Systems","AI agent architectures including ReAct framework and compound systems"
9,Robotics and Automation,course-learning-ibm-robotics-automation.md,Applications,Application,Complete,2.5,"Robotics, Automation, RPA, Industrial Automation, Robot Perception","Robotics fundamentals and automation applications in industry"
10,Transforming Businesses Through AI,course-learning-ibm-transforming-businesses-ai.md,Business Strategy,Business,Complete,2,"AI Strategy, Digital Transformation, Business Value, ROI Analysis","How AI transforms business operations and creates value"
11,The Rise of Generative AI for Business,course-learning-ibm-generative-ai-business.md,Business Strategy,Business,Complete,1.5,"Generative AI, Business Applications, Content Creation, Automation","Business applications of generative AI across industries"
12,Lab: Generative AI for Business Transformation,course-learning-ibm-generative-ai-business-lab.md,Practical/Lab,Lab,Complete,3,"Generative AI, Hands-on, Business Use Cases, Prompt Engineering","Hands-on lab applying generative AI to business scenarios"
13,Become a Value Creator with Generative AI,course-learning-ibm-value-creator-genai.md,Business Strategy,Business,Complete,2,"Value Creation, Generative AI, Innovation, Productivity","Creating value with generative AI tools and techniques"
14,Retrieval-Augmented Generation (RAG),course-learning-ibm-rag-retrieval-augmented-generation.md,Core Technical,Technical,Complete,3,"RAG, Vector Databases, Embeddings, Knowledge Retrieval, LLM Augmentation","RAG architecture and implementation for grounding LLMs in external knowledge"
15,What Is Retrieval-Augmented Generation (RAG)?,course-learning-ibm-what-is-rag.md,Core Technical,Technical,Complete,2,"RAG, Embeddings, Similarity Search, Knowledge Bases","Introduction to RAG concepts and basic implementation"
16,Adopting AI in Your Business,course-learning-ibm-adopting-ai-business.md,Business Strategy,Business,Complete,2,"AI Adoption, Change Management, Implementation Strategy, Roadmap","Strategies for adopting AI in organizations"
17,Frameworks for AI Adoption,course-learning-ibm-frameworks-ai-adoption.md,Business Strategy,Business,Complete,2.5,"AI Frameworks, IBM AI Ladder, Maturity Models, Assessment","Frameworks for assessing and implementing AI adoption"
18,AI Adoption Frameworks: Amazon OpenAI and Facebook,course-learning-ibm-ai-adoption-frameworks-amazon-openai-facebook.md,Business Strategy,Business,Complete,2,"AI Strategy, Amazon, OpenAI, Meta, Case Studies","How major tech companies approach AI adoption"
19,Transforming Your Work Through AI Tools,course-learning-ibm-transforming-work-ai-tools.md,Practical/Lab,Practical,Complete,2,"AI Tools, Productivity, Workflow Automation, Personal AI","Practical applications of AI tools for personal productivity"
20,Career Opportunities with AI,course-learning-ibm-career-opportunities-ai.md,Practical/Lab,Career,Complete,2,"AI Careers, Job Roles, Skills, Industry Trends","Career paths and opportunities in AI fields"
21,Ethical Considerations and Responsible Use of AI,course-learning-ibm-ethical-considerations-responsible-ai.md,Ethics & Governance,Ethics,Complete,3,"AI Ethics, Responsible AI, Bias Mitigation, Fairness, Transparency","Core ethical principles for AI development and deployment"
22,Considerations Around Generative AI,course-learning-ibm-considerations-generative-ai.md,Ethics & Governance,Ethics,Complete,2.5,"Generative AI Ethics, Copyright, Hallucinations, Deepfakes, Privacy","Ethical considerations specific to generative AI technologies"
23,Why Large Language Models Hallucinate,course-learning-ibm-why-llms-hallucinate.md,Technical Deep-Dives,Technical,Complete,2.5,"Hallucinations, LLM Limitations, Prompt Engineering, Model Behavior","Understanding why LLMs hallucinate and how to mitigate"
24,Perspective of Key Players Around AI Ethics,course-learning-ibm-perspective-key-players-ai-ethics.md,AI Ethics Frameworks,Business,Complete,2.5,"AI Ethics, IBM, Microsoft, Google, Industry Frameworks","How major tech companies approach AI ethics"
25,The Importance of AI Governance,course-learning-ibm-importance-ai-governance.md,AI Ethics Frameworks,Business,Complete,2.5,"AI Governance, Risk Management, NIST, EU AI Act, Compliance","AI governance frameworks and regulatory compliance"
26,How to Implement AI Ethics,course-learning-ibm-how-to-implement-ai-ethics.md,Practical Implementation,Practical,Complete,1.5,"AI Ethics Implementation, Dichotomy Mapping, Guardrails, Tools","Practical framework for implementing AI ethics in organizations"
27,Humans vs. AI: Who Makes Better Decisions?,course-learning-ibm-humans-vs-ai-decisions.md,Practical/Lab,Practical,Complete,2,"Decision Making, Human-AI Collaboration, Cognitive Bias","Comparing human and AI decision-making capabilities"
28,Introduction to Generative AI,course-learning-ibm-introduction-generative-ai.md,Generative AI Specialization,Core,In Progress,4,"Generative AI, LLMs, GPT, DALL-E, Prompt Engineering, Applications","Comprehensive introduction to generative AI capabilities and applications"
